approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-2.0,system_22,8,86.0,86.0,10,12,300.0
BNV1-1.0,system_22,19,84.0,84.0,10,12,300.0
BNV1-0.5,system_22,41,84.0,84.0,10,12,300.0
BNV2-2.0,system_22,14,84.0,88.0,10,12,300.0
BNV2-4.0,system_22,9,82.0,90.0,10,12,300.0
BNV2-1.0,system_22,23,82.6,84.0,10,12,300.0
AMPL,system_22,0,75.15,0,10,12,300.0
BNV1-4.0,system_23,4,114.0,114.0,10,12,300.0
BNV1-2.0,system_23,8,86.0,86.0,10,12,300.0
BNV1-1.0,system_23,19,84.0,84.0,10,12,300.0
BNV1-0.5,system_23,41,84.0,84.0,10,12,300.0
BNV2-2.0,system_23,14,84.0,88.0,10,12,300.0
BNV2-4.0,system_23,9,82.0,90.0,10,12,300.0
BNV2-1.0,system_23,23,82.6,84.0,10,12,300.0
AMPL,system_23,0,75.15,0,10,12,300.0
BNV1-4.0,system_24,4,114.0,114.0,10,12,300.0
BNV1-2.0,system_24,8,86.0,86.0,10,12,300.0
BNV1-1.0,system_24,19,84.0,84.0,10,12,300.0
BNV1-0.5,system_24,41,84.0,84.0,10,12,300.0
BNV2-2.0,system_24,14,84.0,88.0,10,12,300.0
BNV2-4.0,system_24,9,82.0,90.0,10,12,300.0
BNV2-1.0,system_24,23,82.6,84.0,10,12,300.0
AMPL,system_24,0,75.15,0,10,12,300.0
BNV1-4.0,system_25,8,118.0,118.0,10,12,300.0
BNV1-2.0,system_25,23,104.0,104.0,10,12,300.0
BNV1-1.0,system_25,48,105.0,105.0,10,12,300.0
BNV1-0.5,system_25,97,104.4,104.4,10,12,300.0
BNV2-2.0,system_25,33,100.7,108.0,10,12,300.0
BNV2-4.0,system_25,16,101.5,114.0,10,12,300.0
BNV2-1.0,system_25,61,98.7,105.0,10,12,300.0
AMPL,system_25,0,89.71,0,10,12,300.0
BNV1-4.0,system_26,8,118.0,118.0,10,12,300.0
BNV1-2.0,system_26,23,104.0,104.0,10,12,300.0
BNV1-1.0,system_26,48,105.0,105.0,10,12,300.0
